grid_id,row,col,centroid_lat,centroid_lon,elevation_m,slope_deg,distance_to_river_m,road_density_km_per_km2,building_density_count_per_km2,susceptibility,flood_polygon_intersection,flood_polygon_source
G0000,0,0,-2.028877,29.981124,1439.0,11.2,553,1.78,0,0.3876152073658612,0,official
G0001,0,1,-2.028877,29.983371,1405.0,6.07,306,0.0,0,0.6287209819467239,0,official
G0002,0,2,-2.028877,29.985618,1386.0,3.3,60,1.62,0,0.799610937741419,0,official
G0003,0,3,-2.028877,29.987865,1389.0,1.67,197,2.6,0,0.7597144955602364,0,official
G0004,0,4,-2.028877,29.990112,1400.0,4.91,446,0.0,0,0.6034908566767044,0,official
G0005,0,5,-2.028877,29.992359,1369.0,2.36,492,0.0,0,0.6849729108873494,0,official
G0006,0,6,-2.028877,29.994606,1387.0,10.25,312,0.0,0,0.5883737514069447,0,official
G0007,0,7,-2.028877,29.996854,1360.0,10.12,127,0.0,0,0.7167287894364233,0,official
G0008,0,8,-2.028877,29.999101,1372.0,16.09,106,0.0,32,0.6843072776204036,0,official
G0009,0,9,-2.028877,30.001348,1352.0,8.53,66,0.0,0,0.8199059339520437,1,official
G0010,0,10,-2.028877,30.003595,1351.0,1.84,113,4.32,0,0.9318244359452773,1,official
G0011,0,11,-2.028877,30.005842,1351.0,0.11,11,4.22,0,1.0,1,official
G0012,0,12,-2.028877,30.008089,1350.0,0.26,55,5.01,0,0.9874336312558946,1,official
G0013,0,13,-2.028877,30.010336,1350.0,0.26,100,10.38,0,0.9705522247447559,1,official
G0014,0,14,-2.028877,30.012584,1351.0,0.32,55,5.62,0,0.9683774024838903,1,official
G0015,0,15,-2.028877,30.014831,1352.0,0.72,139,6.95,48,0.9478649883720018,0,official
G0016,0,16,-2.028877,30.017078,1357.0,2.38,334,8.8,96,0.8156137958219483,0,official
G0017,0,17,-2.028877,30.019325,1369.0,5.15,525,9.38,144,0.6804730035794191,0,official
G0018,0,18,-2.028877,30.021572,1402.0,7.68,732,8.56,400,0.5073926589167262,0,official
G0019,0,19,-2.028877,30.023819,1434.0,4.6,928,14.23,832,0.43878560395026456,0,official
G0020,0,20,-2.028877,30.026067,1441.0,0.23,1113,20.23,608,0.4525572912251035,0,official
G0021,0,21,-2.028877,30.028314,1432.0,8.97,1127,0.78,96,0.3129724256208857,0,official
G0022,0,22,-2.028877,30.030561,1401.0,3.87,1165,0.0,32,0.4482796905049743,0,official
G0023,0,23,-2.028877,30.032808,1421.0,6.95,1191,4.22,176,0.3742579005998804,0,official
G0024,0,24,-2.028877,30.035055,1447.0,10.45,1236,11.76,368,0.2792822996484391,0,official
G0025,0,25,-2.028877,30.037302,1427.0,6.46,1314,5.47,208,0.3733251906684237,0,official
G0026,0,26,-2.028877,30.039549,1430.0,1.54,1402,0.0,96,0.4339513362131128,0,official
G0100,1,0,-2.026631,29.981124,1475.0,15.52,461,11.67,0,0.32945231658773794,0,official
G0101,1,1,-2.026631,29.983371,1407.0,11.42,240,5.4,0,0.5649694219089574,0,official
G0102,1,2,-2.026631,29.985618,1374.0,2.3,59,0.0,0,0.8373588021894627,0,official
G0103,1,3,-2.026631,29.987865,1387.0,7.66,239,1.41,0,0.6561229705357576,0,official
G0104,1,4,-2.026631,29.990112,1419.0,3.4,485,3.02,0,0.577796434835288,0,official
G0105,1,5,-2.026631,29.992359,1377.0,3.64,661,0.0,0,0.5885912979578543,0,official
G0106,1,6,-2.026631,29.994606,1432.0,6.68,480,0.0,0,0.5005686957588972,0,official
G0107,1,7,-2.026631,29.996854,1404.0,12.59,359,0.0,0,0.5164358284631938,0,official
G0108,1,8,-2.026631,29.999101,1444.0,12.97,297,0.0,0,0.45729455712938394,0,official
G0109,1,9,-2.026631,30.001348,1388.0,12.7,200,0.0,0,0.6004947350775738,0,official
G0110,1,10,-2.026631,30.003595,1359.0,4.81,223,0.0,0,0.7708020366268115,1,official
G0111,1,11,-2.026631,30.005842,1351.0,0.92,208,0.0,0,0.9040657018886669,1,official
G0112,1,12,-2.026631,30.008089,1351.0,0.0,73,0.0,0,0.9823695952514903,1,official
G0113,1,13,-2.026631,30.010336,1351.0,0.16,178,4.24,0,0.9314011786108644,1,official
G0114,1,14,-2.026631,30.012584,1352.0,0.11,167,0.0,0,0.9188676155264169,1,official
G0115,1,15,-2.026631,30.014831,1351.0,0.16,11,0.0,0,0.9940499538855345,1,official
G0116,1,16,-2.026631,30.017078,1351.0,2.32,175,0.0,240,0.9573720685409292,0,official
G0117,1,17,-2.026631,30.019325,1370.0,4.81,394,8.2,800,0.7591095849260697,0,official
G0118,1,18,-2.026631,30.021572,1393.0,7.99,576,8.31,672,0.5807578210300746,0,official
G0119,1,19,-2.026631,30.023819,1439.0,5.54,788,7.85,496,0.4566505370029186,0,official
G0120,1,20,-2.026631,30.026067,1441.0,5.12,863,0.68,336,0.42740525629003495,0,official
G0121,1,21,-2.026631,30.028314,1398.0,8.18,877,0.0,176,0.43976218341091117,0,official
G0122,1,22,-2.026631,30.030561,1385.0,5.17,925,0.0,96,0.49449064324694203,0,official
G0123,1,23,-2.026631,30.032808,1441.0,2.51,942,7.03,288,0.4330672558477374,0,official
G0124,1,24,-2.026631,30.035055,1401.0,8.46,995,1.73,80,0.3773879464802035,0,official
G0125,1,25,-2.026631,30.037302,1400.0,5.34,1083,5.39,192,0.439563677007568,0,official
G0126,1,26,-2.026631,30.039549,1436.0,8.22,1166,4.23,192,0.3214472210325703,0,official
G0200,2,0,-2.024386,29.981124,1467.0,14.26,390,8.84,0,0.37569041440495227,0,official
G0201,2,1,-2.024386,29.983371,1405.0,9.69,141,2.01,0,0.6311190113429106,0,official
G0202,2,2,-2.024386,29.985618,1384.0,6.08,110,0.0,0,0.7416156774516666,0,official
G0203,2,3,-2.024386,29.987865,1439.0,10.25,319,0.0,0,0.48858510990989507,0,official
G0204,2,4,-2.024386,29.990112,1428.0,6.23,551,4.08,0,0.489114245902734,0,official
G0205,2,5,-2.024386,29.992359,1398.0,5.74,789,0.0,0,0.46368883047051423,0,official
G0206,2,6,-2.024386,29.994606,1439.0,11.36,684,0.0,0,0.3370242487857725,0,official
G0207,2,7,-2.024386,29.996854,1471.0,14.65,606,0.0,0,0.2862652737683758,0,official
G0208,2,8,-2.024386,29.999101,1486.0,9.92,516,0.0,0,0.35403983687739515,0,official
G0209,2,9,-2.024386,30.001348,1426.0,15.71,410,0.0,0,0.4340722668800879,0,official
G0210,2,10,-2.024386,30.003595,1371.0,8.58,177,0.0,0,0.6992420863421805,0,official
G0211,2,11,-2.024386,30.005842,1351.0,2.41,32,2.13,0,0.9546528009793842,1,official
G0212,2,12,-2.024386,30.008089,1350.0,0.0,100,5.0,0,0.9890456113167432,1,official
G0213,2,13,-2.024386,30.010336,1351.0,0.0,262,0.56,0,0.9114676879047078,1,official
G0214,2,14,-2.024386,30.012584,1350.0,0.11,344,0.0,0,0.8918824517895101,1,official
G0215,2,15,-2.024386,30.014831,1351.0,0.0,151,0.0,16,0.9881655190903853,1,official
G0216,2,16,-2.024386,30.017078,1350.0,1.84,45,0.0,0,0.9741389768673786,1,official
G0217,2,17,-2.024386,30.019325,1367.0,4.82,229,6.37,496,0.8205095580897535,0,official
G0218,2,18,-2.024386,30.021572,1389.0,7.41,458,6.85,528,0.6382433714234916,0,official
G0219,2,19,-2.024386,30.023819,1427.0,7.85,614,4.7,592,0.5107327896685072,0,official
G0220,2,20,-2.024386,30.026067,1423.0,7.84,613,0.0,128,0.497471069589295,0,official
G0221,2,21,-2.024386,30.028314,1387.0,5.81,628,5.73,48,0.5817539552368705,0,official
G0222,2,22,-2.024386,30.030561,1387.0,2.22,676,7.45,480,0.6460828948846199,0,official
G0223,2,23,-2.024386,30.032808,1406.0,6.96,695,4.9,240,0.5209513023782559,0,official
G0224,2,24,-2.024386,30.035055,1385.0,2.46,760,0.0,32,0.5891947934459181,0,official
G0225,2,25,-2.024386,30.037302,1396.0,6.48,855,3.47,208,0.48099786840402,0,official
G0226,2,26,-2.024386,30.039549,1436.0,9.45,937,1.94,240,0.3305276989762961,0,official
